year,month,day,hour,solar
2018,7,20,11,519.651
2018,7,20,12,154.18366666666668
2018,7,20,13,183.67275000000006
2018,7,20,14,186.0733333333333
2018,7,20,15,248.166
2018,7,20,16,188.107
2018,7,20,17,125.96774999999997
2018,7,20,18,37.50066666666668
2018,7,20,19,13.139499999999995
2018,7,20,20,4.233000000000001
2018,7,20,21,0.0
2018,7,20,22,0.0
2018,7,20,23,0.0
2018,7,21,0,0.0
2018,7,21,1,0.0
2018,7,21,2,1.8918333333333337
2018,7,21,3,13.281000000000002
2018,7,21,4,69.49233333333332
2018,7,21,5,137.69891666666666
2018,7,21,6,296.21933333333334
2018,7,21,7,163.47533333333328
2018,7,21,8,104.7541666666667
2018,7,21,9,189.9596666666667
2018,7,21,10,422.49
2018,7,21,11,493.3343333333333
2018,7,21,12,532.5464999999998
2018,7,21,13,430.1795
2018,7,21,14,389.54533333333336
2018,7,21,15,292.4495000000001
2018,7,21,16,147.59466666666663
2018,7,21,17,121.20058333333333
2018,7,21,18,80.93299999999998
2018,7,21,19,22.700833333333332
2018,7,21,20,2.3814999999999977
2018,7,21,21,0.0
2018,7,21,22,0.0
2018,7,21,23,0.0
2018,7,22,0,0.0
2018,7,22,1,0.0385
2018,7,22,2,8.171000000000003
2018,7,22,3,37.33266666666667
2018,7,22,4,93.9435
2018,7,22,5,172.74716666666663
2018,7,22,6,173.73166666666665
2018,7,22,7,295.56333333333333
2018,7,22,8,434.29116666666664
2018,7,22,9,504.65816666666643
2018,7,22,10,548.4131666666666
2018,7,22,11,559.9823333333333
2018,7,22,12,536.9728333333331
2018,7,22,13,493.14733333333334
2018,7,22,14,420.55983333333353
2018,7,22,15,265.0638333333333
2018,7,22,16,117.64866666666668
2018,7,22,17,88.0369166666667
2018,7,22,18,37.38350000000001
2018,7,22,19,17.372833333333332
2018,7,22,20,2.7148333333333343
2018,7,22,21,0.0
2018,7,22,22,0.0
2018,7,22,23,0.0
2018,7,23,0,0.0
2018,7,23,1,0.0
2018,7,23,2,0.0
2018,7,23,3,3.1006666666666667
2018,7,23,4,14.631000000000006
2018,7,23,5,29.43133333333334
2018,7,23,6,38.8895
2018,7,23,7,84.76799999999997
2018,7,23,8,137.13216666666668
2018,7,23,9,160.56699999999995
2018,7,23,10,170.90733333333338
2018,7,23,11,93.3906666666667
2018,7,23,12,125.11249999999998
2018,7,23,13,364.51583333333326
2018,7,23,14,335.1091666666668
2018,7,23,15,269.4003333333334
2018,7,23,16,175.9963333333334
2018,7,23,17,138.53433333333336
2018,7,23,18,68.79783333333332
2018,7,23,19,15.546166666666654
2018,7,23,20,5.031666666666665
2018,7,23,21,0.0
2018,7,23,22,0.0
2018,7,23,23,0.0
2018,7,24,0,0.0
2018,7,24,1,0.0
2018,7,24,2,2.1091666666666664
2018,7,24,3,19.509333333333334
2018,7,24,4,76.85366666666667
2018,7,24,5,76.89250000000001
2018,7,24,6,126.2894166666667
2018,7,24,7,300.5693333333333
2018,7,24,8,423.4168333333335
2018,7,24,9,508.24916666666667
2018,7,24,10,462.6545
2018,7,24,11,380.40833333333336
2018,7,24,12,366.71616666666677
2018,7,24,13,334.1958333333333
2018,7,24,14,196.26575000000003
2018,7,24,15,138.71516666666668
2018,7,24,16,114.58533333333335
2018,7,24,17,54.2295
2018,7,24,18,66.65433333333331
2018,7,24,19,15.005166666666666
2018,7,24,20,2.6893333333333342
2018,7,24,21,0.0
2018,7,24,22,0.0
2018,7,24,23,0.0
2018,7,25,0,0.0
2018,7,25,1,0.0
2018,7,25,2,1.929833333333336
2018,7,25,3,10.475
2018,7,25,4,24.026
2018,7,25,5,56.07016666666665
2018,7,25,6,113.13783333333328
2018,7,25,7,71.95100000000001
2018,7,25,8,136.54016666666666
2018,7,25,9,135.5883333333333
2018,7,25,10,152.68491666666668
2018,7,25,11,222.56966666666665
2018,7,25,12,249.62116666666668
2018,7,25,13,155.22599999999994
2018,7,25,14,80.13466666666667
2018,7,25,15,52.62166666666666
2018,7,25,16,60.5485
2018,7,25,17,33.63949999999999
2018,7,25,18,14.20633333333334
2018,7,25,19,9.967083333333333
2018,7,25,20,0.077
2018,7,25,21,0.0
2018,7,25,22,0.0
2018,7,25,23,0.0
2018,7,26,0,0.0
2018,7,26,1,0.0
2018,7,26,2,4.143166666666668
2018,7,26,3,29.37933333333333
2018,7,26,4,95.8095
2018,7,26,5,172.4445000000001
2018,7,26,6,226.22450000000006
2018,7,26,7,344.1503333333332
2018,7,26,8,436.74966666666666
2018,7,26,9,514.9026666666667
2018,7,26,10,552.0553333333331
2018,7,26,11,559.3006666666665
2018,7,26,12,540.4733333333331
2018,7,26,13,495.53516666666667
2018,7,26,14,425.61816666666647
2018,7,26,15,336.73758333333336
2018,7,26,16,238.08983333333327
2018,7,26,17,139.68050000000005
2018,7,26,18,59.28716666666665
2018,7,26,19,15.925083333333333
2018,7,26,20,2.483
2018,7,26,21,0.0
2018,7,26,22,0.0
2018,7,26,23,0.0
2018,7,27,0,0.0
2018,7,27,1,0.0
2018,7,27,2,3.4998333333333345
2018,7,27,3,21.45233333333334
2018,7,27,4,72.89000000000001
2018,7,27,5,158.25050000000005
2018,7,27,6,251.62800000000007
2018,7,27,7,346.9618333333331
2018,7,27,8,428.3588333333333
2018,7,27,9,491.8154999999999
2018,7,27,10,531.1298333333334
2018,7,27,11,549.9831666666669
2018,7,27,12,527.8869999999998
2018,7,27,13,495.43216666666666
2018,7,27,14,419.87158333333343
2018,7,27,15,331.506
2018,7,27,16,230.43283333333332
2018,7,27,17,135.4206666666667
2018,7,27,18,58.26408333333331
2018,7,27,19,16.150333333333336
2018,7,27,20,2.5603333333333333
2018,7,27,21,0.0
2018,7,27,22,0.0
2018,7,27,23,0.0
2018,7,28,0,0.0
2018,7,28,1,0.0
2018,7,28,2,3.248666666666668
2018,7,28,3,21.50416666666667
2018,7,28,4,70.53500000000003
2018,7,28,5,147.98099999999994
2018,7,28,6,250.9274166666667
2018,7,28,7,372.7901666666668
2018,7,28,8,482.6663333333333
2018,7,28,9,403.1736666666667
2018,7,28,10,533.3829999999997
2018,7,28,11,543.1118333333337
2018,7,28,12,478.21333333333337
2018,7,28,13,401.03733333333327
2018,7,28,14,216.4507499999999
2018,7,28,15,85.61750000000002
2018,7,28,16,129.39750000000004
2018,7,28,17,33.69049999999999
2018,7,28,18,27.424
2018,7,28,19,8.545333333333332
2018,7,28,20,1.3123333333333334
2018,7,28,21,0.0
2018,7,28,22,0.0
2018,7,28,23,0.0
2018,7,29,0,0.0
2018,7,29,1,0.0
2018,7,29,2,0.6816666666666668
2018,7,29,3,20.024666666666654
2018,7,29,4,30.074999999999992
2018,7,29,5,23.098833333333346
2018,7,29,6,45.31775
2018,7,29,7,244.6533333333333
2018,7,29,8,218.5283333333333
2018,7,29,9,295.4603333333332
2018,7,29,10,252.18775
